stimulusValue,stimulusValueType,stimulusValueColor,stimulusType,correctResponse,keyCode,keyLabel,keyLabelType,keyIndex,response
DEKORATION,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
LAHMLEGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
IDEALISTISCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNIVERSELL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BLINZELN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINSPRINGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
RÜCKSCHAU,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZYLINDER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
LOKFÜHRER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNERLAUBT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SCHMÄLERN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
REGIMENT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ANLEHNUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUSGEWACHSEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ILLUSTRATION,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
NOTDÜRFTIG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ANPACKEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ABHANDLUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ÜBERMÄCHTIG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNVERLETZT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNBEACHTET,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FAHRSTUHL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUSSCHNEIDEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SPONTANEITÄT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SPEKTRUM,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
TATKRAFT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNSTERBLICH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AGRARPOLITIK,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNVERMITTELT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINGESTEHEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BRÄUTIGAM,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ENTSCHÄDIGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
IRRITIEREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BESCHÄMEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ANWENDBAR,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
PATIENTIN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
CHRISTENHEIT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
RADFAHRER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ÖKUMENISCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ABSETZUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
NAMENTLICH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
NACHTPORTIER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FÜNFTAUSEND,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BERICHTIGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BLEISTIFT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUFSPÜREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNVERGESSEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUGENBRAUE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNKOSTEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SACHKENNTNIS,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VORBEIKOMMEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ANSCHLAGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNTERHALT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
KÖSTLICH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BENEIDEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AKTIENKURS,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZENTRALORGAN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
KAPITULIEREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SZENISCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VERBÜRGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
IRRATIONAL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
WAHLSIEG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
WALDRAND,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ERWÄRMEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
STUMMFÄHRING,text,black,nonword,nonword,Space,Space.png,image,2,target
ZWUCKWEDREG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
TAPFBLAMO,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
DARCHFRIRAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BOBUKIPF,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
TIBEKSDESO,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VIRMAMMING,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SPOOLDUSI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BLATUGOL,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ÄQAAVULUNZ,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BOPEDORN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VURUESONG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
NICHTTOREF,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KIHLAPUPOUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KUKISPILMI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BOSUMRITTI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ANTURIRDNIND,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ONGASUTTOT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RAESUFUABUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KINJIGETUEN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ÖBURBUCKIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
PURSOFLOGO,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BRINDBLISU,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STOPTÜNZUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
EBNAHMIRLEND,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BIOIRDNANG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STEMMTEN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OGNIRUNT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
LOANONKLOAD,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHÖLCHIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KIRRIKTER,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STOCHOLN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
LASOACKU,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
PFUULSCHASS,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ERBAGANN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SOFTUGKIET,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ZERÖCKZOCKIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BINETZBER,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
UMPRUVESETER,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IRGRUMMUN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VARMIRKING,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
CHROSTAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
TEAFPONKT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IUNGLAASAG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BRACHING,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
NERDIERUPI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IISSPÄLIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
PHASPHET,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BLUEBOIRA,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ANTUGREURIND,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
UESRIAFIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ÖLLOUTONG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WIHLLUKEL,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RUCHTURSTIHL,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KIRTINHIES,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RUGINTRIPFUN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ZIRWÄRFNES,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
FLUGPLAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IBSPRING,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BECKPILVOR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
TIGANDHIFT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ANBISCHULTON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OBSCHOCKIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHLUOURHUFT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHMUIGSOM,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ÜBORMUTTLONG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WÜSCHUROA,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
DEPPULTÖR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BOSCHAUNIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RAGILWEDREG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ONBOWUCHT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WOLDLEIF,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
LAKELATÖT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KÄCHUNSTAHL,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ZAKÄNFTEG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VORSCHNAPFT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
NARVUNLAEDAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STRUMSPARRI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OIFPROLL,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KAEPIROTEV,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STICKDISA,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OIGONMURK,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ANDIITLECH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ÖBIRRUECH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RUELSCHILI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STRUBSUM,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ODDEURON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IMPFUNDON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SURVUARURAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IBWORTIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OONSINDONG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ZEFÖHRANG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
FURTWÖHRAND,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WUOCHSOL,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RAONOURON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VARHÜRTUN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RIHRKAHLO,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WIOTORGAHUND,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WULLANLÖNGI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHRUCKAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VIRLÜEFUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
PALOURON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
FARMILIR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WOCHSILSTRIM,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VIRARRON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
NOCHSICHIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VAZAKONZLUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VORMOITUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VORLEUROR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OBTRUGON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OBGAWANNIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHNERRBIRT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
TETOLSIUTA,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
UXPIRTOIR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SULBSTSECHUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VIRJÜHRAG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VARUASGUBUN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
DORCHGOHUN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VIRWOOSAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
UBSUNKUN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
PIBLAZEST,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BUSTUOARING,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VARGRIBIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
OMDROHAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
UANFECHHAOT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ERBOUTSLIHN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
RONDGUNG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ÄBIRRUNNON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VITUROCHT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BAFÄRWIRTOR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STIDTGABOIT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STRÜIBAN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
TOURIRZT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
UNTHISOOSMES,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VOTELOTÖT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WEHNHUFT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SUMENTASCH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHWURFOLLIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
INSCHÖDLUCH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KAMMUNTOTAR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
AENFUHRT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BUHÜRDLACH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
INMARKLACH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IENSCHRUATON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ZWAUSIUTOG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHAABIDICH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SPAKALUIRIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
DROUZOHNTI,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ÄBORGRAOFUN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BURGWURK,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
PRÜZESUIRIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ENNIHMBUR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IRSCHÄPFENG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VOROBRIDENG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
FUENDSCHOFT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
TRUMMLOR,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
